an,Code_Postal,INSEE_COM,n
2016,69140,69286,1
2004,69800,69290,1
2004,69437,69383,1
2004,69317,69384,1
2010,69317,69384,1
2016,69317,69384,1
2004,69365,69387,1
2010,69365,69387,1
2016,69365,69387,1
2004,69008,69388,1
2016,69008,69388,1
2004,70104,70279,1
2004,70306,70311,1
2004,70014,70550,1
2010,70014,70550,1
2016,70014,70550,1
2004,71407,71014,1
2010,71407,71014,1
2016,71400,71014,1
2004,71321,71076,1
2010,71321,71076,1
2016,71321,71076,1
2004,71206,71153,1
2010,71206,71153,1
2016,71206,71153,1
2004,71018,71270,1
2010,71018,71270,1
2016,71018,71270,1
2004,71307,71306,1
2016,71307,71306,1
2004,71604,71342,1
2010,71604,71342,1
2016,71600,71342,1
2016,72200,72022,1
2004,72205,72154,1
2010,72205,72154,1
2004,72037,72181,1
2004,72100,72181,1
2010,72037,72181,1
2010,72100,72181,1
2016,72037,72181,1
2016,72100,72181,1
2004,72305,72264,1
2004,73105,73008,1
2010,73106,73008,1
2004,73208,73011,1
2010,73208,73011,1
2016,73208,73011,1
2004,73704,73054,1
2010,73704,73054,1
2016,73704,73054,1
2004,73011,73065,1
2010,73011,73065,1
2016,73011,73065,1
2004,73300,73248,1
2010,73300,73248,1
2016,73303,73248,1
2004,74000,74010,1
2004,74011,74010,1
2010,74000,74010,1
2016,74000,74010,1
2004,74100,74012,1
2004,74105,74012,1
2010,74100,74012,1
2010,74105,74012,1
2016,74100,74012,1
2004,74400,74056,1
2004,74300,74081,1
2016,74130,74087,1
2010,74374,74217,1
2016,74374,74217,1
2004,74164,74243,1
2010,74164,74243,1
2016,74164,74243,1
2004,74700,74256,1
2010,74700,74256,1
2016,74700,74256,1
2004,74203,74281,1
2010,74203,74281,1
2016,74203,74281,1
2004,75475,75110,1
2010,75475,75110,1
2016,75475,75110,2
2004,75011,75111,1
2004,75543,75111,1
2010,75011,75111,1
2016,75011,75111,1
2004,75012,75112,4
2010,75012,75112,1
2010,75571,75112,2
2016,75571,75112,3
2004,75013,75113,3
2010,75013,75113,2
2016,75013,75113,1
2016,75651,75113,1
2004,75014,75114,2
2004,75674,75114,2
2010,75014,75114,1
2010,75674,75114,2
2010,75679,75114,1
2016,75674,75114,2
2016,75679,75114,1
2004,75015,75115,2
2004,75730,75115,1
2010,75015,75115,1
2010,75743,75115,1
2016,75015,75115,1
2016,75743,75115,1
2004,75016,75116,1
2010,75116,75116,1
2016,75016,75116,1
2004,75017,75117,1
2010,75017,75117,1
2016,75017,75117,1
2004,75018,75118,1
2010,75877,75118,1
2016,75877,75118,1
2004,75019,75119,1
2010,75019,75119,1
2016,75019,75119,1
2004,75020,75120,1
2010,75970,75120,1
2016,75970,75120,1
2004,76200,76217,1
2004,76202,76217,1
2010,76202,76217,1
